Cities,Level,start,end
Beijing,Yellow,13/11/2018,15/11/2018
Beijing,Yellow,24/11/2018,27/11/2018
Beijing,Yellow,01/12/2018,03/12/2018
Beijing,Yellow,15/11/2020,17/11/2020
Beijing,Yellow,11/02/2021,14/02/2021
Beijing,Yellow,26/02/2021,01/03/2021
Beijing,Yellow,10/03/2021,15/03/2021
Beijing,Yellow,04/11/2021,06/11/2021
Tianjin,Yellow,13/11/2018,15/11/2018
Tianjin,Yellow,23/11/2018,27/11/2018
Tianjin,Yellow,30/11/2018,03/12/2018
Tianjin,Yellow,11/01/2019,15/01/2019
Tianjin,Yellow,19/10/2019,20/10/2019
Tianjin,Yellow,20/12/2019,25/12/2019
Tianjin,Yellow,27/12/2019,29/12/2019
Tianjin,Yellow,09/01/2020,10/01/2020
Tianjin,Yellow,14/11/2020,17/11/2020
Tianjin,Yellow,09/03/2021,15/03/2021
Tianjin,Yellow,03/11/2021,06/11/2021
Shijiazhuang,Yellow,15/11/2019,17/11/2019
Shijiazhuang,Yellow,14/10/2020,16/10/2020
Shijiazhuang,Yellow,21/10/2020,23/10/2020
Tangshan,Yellow,07/12/2019,10/12/2019
Qinhuangdao,Yellow,06/12/2019,12/12/2019
Qinhuangdao,Yellow,23/12/2019,25/12/2019
Handan,Yellow,19/12/2018,22/12/2018
Handan,Yellow,02/01/2019,03/01/2019
Handan,Yellow,14/10/2019,16/10/2019
Handan,Yellow,22/10/2019,23/10/2019
Handan,Yellow,28/10/2019,01/11/2019
Baoding,Yellow,15/11/2019,18/11/2019
Baoding,Yellow,28/11/2019,02/12/2019
Baoding,Yellow,14/10/2020,23/10/2020
Chengde,Yellow,08/03/2021,14/03/2021
Cangzhou,Yellow,07/12/2019,09/12/2019
Cangzhou,Yellow,27/10/2020,01/11/2020
Cangzhou,Yellow,24/11/2020,27/11/2020
Cangzhou,Yellow,30/11/2020,06/12/2020
Langfang,Yellow,28/11/2019,02/12/2019
Langfang,Yellow,07/12/2019,09/12/2019
Langfang,Yellow,16/01/2020,23/01/2020
Langfang,Yellow,23/10/2020,23/10/2020
Langfang,Yellow,27/10/2020,31/10/2020
Langfang,Yellow,24/11/2020,26/11/2020
Hengshui,Yellow,15/11/2019,17/11/2019
Hengshui,Yellow,24/11/2020,27/11/2020
Zhangjiakou,Yellow,10/03/2021,14/03/2021
Taiyuan,Yellow,13/11/2018,15/11/2018
Taiyuan,Yellow,24/11/2018,27/11/2018
Taiyuan,Yellow,30/11/2018,30/11/2018
Taiyuan,Yellow,19/12/2018,21/12/2018
Taiyuan,Yellow,28/01/2019,30/01/2019
Taiyuan,Yellow,05/03/2019,31/03/2019
Taiyuan,Yellow,10/10/2019,13/10/2019
Taiyuan,Yellow,17/10/2019,19/10/2019
Taiyuan,Yellow,20/11/2019,23/11/2019
Taiyuan,Yellow,29/11/2019,30/11/2019
Datong,Yellow,18/10/2019,23/10/2019
Datong,Yellow,03/01/2020,04/01/2020
Yangquan,Yellow,02/11/2018,05/11/2018
Yangquan,Yellow,12/11/2018,14/11/2018
Yangquan,Yellow,10/10/2019,10/10/2019
Yangquan,Yellow,20/11/2019,21/11/2019
Changzhi,Yellow,11/10/2019,14/10/2019
Changzhi,Yellow,18/10/2019,23/10/2019
Changzhi,Yellow,20/11/2019,24/11/2019
Changzhi,Yellow,05/12/2019,07/12/2019
Changzhi,Yellow,03/01/2020,04/01/2020
Jincheng,Yellow,13/11/2018,16/11/2018
Jincheng,Yellow,23/11/2018,29/11/2018
Jincheng,Yellow,05/12/2018,05/12/2018
Jincheng,Yellow,10/01/2019,14/01/2019
Jincheng,Yellow,20/01/2019,21/01/2019
Jincheng,Yellow,23/01/2019,31/01/2019
Jincheng,Yellow,11/02/2019,15/02/2019
Jincheng,Yellow,03/03/2019,06/03/2019
Jincheng,Yellow,11/10/2019,13/10/2019
Jincheng,Yellow,17/10/2019,19/10/2019
Jincheng,Yellow,19/11/2019,21/11/2019
Jincheng,Yellow,28/11/2019,29/11/2019
Shuozhou,Yellow,18/10/2019,23/10/2019
Shuozhou,Yellow,01/11/2019,03/11/2019
Shuozhou,Yellow,28/11/2019,30/11/2019
Jinzhong,Yellow,13/11/2018,16/11/2018
Jinzhong,Yellow,24/11/2018,26/11/2018
Jinzhong,Yellow,09/12/2018,11/12/2018
Jinzhong,Yellow,16/03/2019,24/03/2019
Jinzhong,Yellow,10/10/2019,14/10/2019
Jinzhong,Yellow,18/10/2019,19/10/2019
Jinzhong,Yellow,14/11/2019,15/11/2019
Jinzhong,Yellow,20/11/2019,23/11/2019
Jinzhong,Yellow,29/11/2019,30/11/2019
Jinzhong,Yellow,05/12/2019,09/12/2019
Jinzhong,Yellow,02/01/2020,02/01/2020
Yuncheng,Yellow,08/12/2018,12/12/2018
Yuncheng,Yellow,23/01/2019,29/01/2019
Yuncheng,Yellow,12/02/2019,15/02/2019
Yuncheng,Yellow,06/03/2019,22/03/2019
Yuncheng,Yellow,10/10/2019,14/10/2019
Yuncheng,Yellow,18/10/2019,19/10/2019
Yuncheng,Yellow,14/11/2019,17/11/2019
Yuncheng,Yellow,21/11/2019,23/11/2019
Yuncheng,Yellow,01/01/2020,01/01/2020
Yuncheng,Yellow,06/01/2020,06/01/2020
Yuncheng,Yellow,19/02/2020,27/02/2020
Xinzhou,Yellow,10/10/2019,11/10/2019
Xinzhou,Yellow,18/10/2019,19/10/2019
Xinzhou,Yellow,04/11/2019,09/11/2019
Xinzhou,Yellow,20/11/2019,23/11/2019
Xinzhou,Yellow,05/12/2019,09/12/2019
Linfen,Yellow,13/11/2018,16/11/2018
Linfen,Yellow,23/11/2018,28/11/2018
Linfen,Yellow,16/03/2019,31/03/2019
Linfen,Yellow,10/10/2019,13/10/2019
Linfen,Yellow,17/10/2019,19/10/2019
Linfen,Yellow,27/11/2019,01/12/2019
Linfen,Yellow,04/12/2019,05/12/2019
Linfen,Yellow,01/01/2020,01/01/2020
Linfen,Yellow,25/02/2020,01/03/2020
Lvliang,Yellow,18/10/2019,19/10/2019
Lvliang,Yellow,20/11/2019,25/11/2019
Lvliang,Yellow,27/11/2019,29/11/2019
Jinan,Yellow,18/01/2019,20/01/2019
Qingdao,Yellow,22/10/2019,24/10/2019
Qingdao,Yellow,21/12/2019,22/12/2019
Qingdao,Yellow,06/12/2020,07/12/2020
Qingdao,Yellow,10/12/2020,10/12/2020
Qingdao,Yellow,21/12/2020,25/12/2020
Zibo,Yellow,01/11/2018,05/11/2018
Zaozhuang,Yellow,19/10/2019,21/10/2019
Dongying,Yellow,04/11/2019,07/11/2019
Dongying,Yellow,18/12/2020,19/12/2020
Dongying,Yellow,06/01/2022,10/01/2022
Yantai,Yellow,20/10/2019,21/10/2019
Yantai,Yellow,14/12/2020,14/12/2020
Weifang,Yellow,19/10/2019,20/10/2019
Weifang,Yellow,15/12/2021,16/12/2021
Weifang,Yellow,20/12/2021,28/12/2021
Jining,Yellow,18/01/2019,20/01/2019
Jining,Yellow,26/10/2020,01/11/2020
Jining,Yellow,09/11/2020,13/11/2020
Jining,Yellow,14/12/2020,15/12/2020
Jining,Yellow,14/11/2021,15/11/2021
Taian,Yellow,17/10/2019,18/10/2019
Taian,Yellow,04/11/2019,10/11/2019
Taian,Yellow,09/11/2020,17/11/2020
Taian,Yellow,03/12/2020,04/12/2020
Taian,Yellow,14/12/2020,15/12/2020
Weihai,Yellow,23/10/2019,25/10/2019
Weihai,Yellow,10/12/2019,12/12/2019
Weihai,Yellow,11/12/2020,13/12/2020
Weihai,Yellow,22/12/2020,25/12/2020
Rizhao,Yellow,23/10/2019,25/10/2019
Rizhao,Yellow,21/11/2019,22/11/2019
Rizhao,Yellow,09/12/2019,11/12/2019
Rizhao,Yellow,21/12/2019,24/12/2019
Rizhao,Yellow,09/11/2020,13/11/2020
Rizhao,Yellow,30/11/2020,30/11/2020
Rizhao,Yellow,14/12/2020,15/12/2020
Linyi,Yellow,04/11/2019,08/11/2019
Linyi,Yellow,20/11/2019,22/11/2019
Linyi,Yellow,03/01/2021,04/01/2021
Dezhou,Yellow,18/01/2019,19/01/2019
Dezhou,Yellow,21/11/2019,24/11/2019
Liaocheng,Yellow,18/01/2019,20/01/2019
Liaocheng,Yellow,04/11/2019,06/11/2019
Liaocheng,Yellow,21/11/2019,24/11/2019
Liaocheng,Yellow,14/12/2020,15/12/2020
Binzhou,Yellow,13/11/2018,13/11/2018
Binzhou,Yellow,19/02/2019,20/02/2019
Binzhou,Yellow,19/10/2019,25/10/2019
Binzhou,Yellow,21/11/2019,22/11/2019
Binzhou,Yellow,03/01/2020,06/01/2020
Binzhou,Yellow,10/01/2020,23/01/2020
Binzhou,Yellow,05/12/2020,10/12/2020
Heze,Yellow,18/01/2019,20/01/2019
Heze,Yellow,21/11/2019,24/11/2019
Zhengzhou,Yellow,09/12/2018,09/12/2018
Zhengzhou,Yellow,14/02/2019,17/02/2019
Zhengzhou,Yellow,13/03/2019,13/03/2019
Zhengzhou,Yellow,17/03/2019,20/03/2019
Zhengzhou,Yellow,02/12/2019,03/12/2019
Zhengzhou,Yellow,27/01/2021,06/02/2021
Zhengzhou,Yellow,27/02/2021,01/03/2021
Zhengzhou,Yellow,02/11/2021,07/11/2021
Zhengzhou,Yellow,07/12/2021,15/12/2021
Kaifeng,Yellow,10/12/2018,11/12/2018
Kaifeng,Yellow,23/01/2019,26/01/2019
Kaifeng,Yellow,17/11/2021,23/11/2021
Kaifeng,Yellow,07/12/2021,15/12/2021
Luoyang,Yellow,09/12/2018,14/12/2018
Luoyang,Yellow,01/03/2019,02/03/2019
Luoyang,Yellow,14/03/2019,31/03/2019
Luoyang,Yellow,07/12/2021,12/12/2021
Pingdingshan,Yellow,02/01/2021,17/01/2021
Pingdingshan,Yellow,17/11/2021,22/11/2021
Anyang,Yellow,07/12/2018,09/12/2018
Anyang,Yellow,02/01/2021,17/01/2021
Hebi,Yellow,10/12/2018,12/12/2018
Hebi,Yellow,02/01/2021,17/01/2021
Hebi,Yellow,16/11/2021,22/11/2021
Xinxiang,Yellow,02/01/2021,17/01/2021
